date,Farmer,Pesticides,Food_Contamination,Industry,Dairy_Health_Impact,Forest,Waste,Workers,Cow,Government,ImportExport,Chemical,Deforestation_Agriculture,Lactose_Intolerant,Food_Climat_Impact,Employment,Policy,Poverty,Biodiversity,Price,Brexit,Food_Waste,Industrial_Agriculture,Soil,Natural,Payment_Wages,Cancer,MentalHealth,GMO,Sugar,Factory,Packaging,PalmOil,Immigration,Taste,Pollinators,Shortage,Glyphosate,Animal_Welfare,CEO,Recycling,Vegan_Against_Dairy,Almond_milk,Vitamin,Allergy,Gut_Digestion,Ingredient_Scrutiny,Fats,Lactose,Seeds,Protein,Milk_Prices,Bacteria,Industry_Impacy_Health,Obesity,Food_access,Antibiotics,Reusable,Plastic_Ocean,Retail,Hormone,Label,Water_Scarcity,Chlorpyrifos,Bank,Xenophobic,Sustainable_Diet,Meat_Impact_Climate,Chlorine,Baby_Milk,Residues,Additive,Diabetes,Soya_milk,Processed_Food,Feminism,Transparency,Religion,Breastfeeding,Gluten,Skincar,Cocoa,Monoculture,Shareholders,Microplastics,Infant_Nutrition,Veganism,Carbohydrates,Fertility,Biodegradable,Microwave,Sulfoxaflor,Organic_Authenticity,Traceability,NanoParticles,Aluminium,Probiotics,Atrazine,Perchlorate,Dairy_Industry_Lie,Genetically_Modified_Animal,Milk_Sales,Overpackaging
2018-08-13,534.0,1774.0,276.0,143.0,52.0,166.0,244.0,96.0,122.0,93.0,1382.0,196.0,126.0,5.0,32.0,67.0,71.0,47.0,7.0,81.0,20.0,71.0,23.0,66.0,22.0,28.0,48.0,183.0,40.0,20.0,56.0,1.0,35.0,17.0,13.0,15.0,8.0,138.0,9.0,3.0,4.0,127.0,21.0,0.0,6.0,11.0,33.0,21.0,8.0,58.0,12.0,16.0,5.0,2.0,4.0,18.0,10.0,4.0,41.0,2.0,9.0,29.0,3.0,3.0,5.0,4.0,13.0,0.0,0.0,2.0,30.0,41.0,5.0,9.0,2.0,1.0,4.0,37.0,4.0,5.0,2.0,0.0,0.0,0.0,0.0,2.0,1.0,6.0,53.0,19.0,7.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0
2018-08-14,381.0,827.0,396.0,121.0,73.0,90.0,501.0,68.0,64.0,110.0,511.0,185.0,47.0,15.0,66.0,35.0,53.0,44.0,20.0,50.0,26.0,385.0,15.0,21.0,18.0,36.0,62.0,78.0,36.0,14.0,5.0,6.0,19.0,15.0,14.0,4.0,23.0,61.0,20.0,5.0,48.0,18.0,13.0,2.0,27.0,50.0,22.0,11.0,17.0,8.0,21.0,7.0,6.0,1.0,5.0,16.0,5.0,6.0,1.0,42.0,7.0,20.0,2.0,2.0,3.0,11.0,4.0,0.0,0.0,36.0,13.0,11.0,10.0,7.0,0.0,0.0,4.0,1.0,16.0,8.0,23.0,1.0,0.0,25.0,0.0,0.0,1.0,0.0,2.0,4.0,8.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0
2018-08-15,428.0,801.0,421.0,214.0,64.0,284.0,162.0,97.0,170.0,148.0,122.0,291.0,263.0,14.0,26.0,24.0,54.0,51.0,6.0,70.0,8.0,101.0,18.0,24.0,22.0,52.0,80.0,19.0,46.0,27.0,23.0,9.0,10.0,5.0,14.0,337.0,18.0,90.0,7.0,161.0,14.0,87.0,21.0,1.0,8.0,20.0,12.0,17.0,16.0,18.0,16.0,6.0,5.0,3.0,51.0,4.0,5.0,50.0,0.0,108.0,3.0,6.0,1.0,13.0,6.0,5.0,3.0,1.0,0.0,13.0,10.0,7.0,7.0,6.0,1.0,0.0,2.0,2.0,10.0,6.0,12.0,0.0,6.0,3.0,1.0,2.0,2.0,1.0,4.0,0.0,4.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-08-16,374.0,1043.0,295.0,157.0,74.0,277.0,390.0,104.0,64.0,242.0,116.0,179.0,225.0,15.0,17.0,223.0,68.0,55.0,6.0,53.0,41.0,58.0,39.0,27.0,45.0,17.0,158.0,56.0,67.0,15.0,7.0,8.0,31.0,3.0,41.0,258.0,7.0,221.0,6.0,108.0,11.0,20.0,21.0,2.0,16.0,57.0,23.0,23.0,20.0,22.0,17.0,7.0,18.0,8.0,16.0,8.0,6.0,140.0,3.0,160.0,12.0,19.0,0.0,5.0,5.0,2.0,2.0,0.0,0.0,284.0,9.0,8.0,6.0,6.0,1.0,0.0,3.0,1.0,4.0,1.0,7.0,0.0,0.0,0.0,1.0,6.0,0.0,1.0,4.0,0.0,1.0,2.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,0.0
2018-08-17,404.0,643.0,215.0,120.0,59.0,199.0,304.0,53.0,110.0,274.0,102.0,134.0,150.0,15.0,43.0,68.0,45.0,50.0,12.0,51.0,115.0,194.0,40.0,25.0,21.0,29.0,73.0,60.0,41.0,10.0,8.0,3.0,9.0,8.0,54.0,262.0,8.0,110.0,13.0,28.0,130.0,8.0,19.0,6.0,10.0,19.0,10.0,8.0,17.0,13.0,13.0,1.0,118.0,5.0,11.0,9.0,14.0,121.0,1.0,185.0,4.0,10.0,37.0,1.0,26.0,2.0,0.0,0.0,2.0,67.0,4.0,4.0,3.0,9.0,1.0,0.0,2.0,2.0,5.0,8.0,4.0,0.0,1.0,0.0,0.0,1.0,0.0,9.0,1.0,0.0,3.0,2.0,12.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-18,410.0,508.0,172.0,161.0,64.0,67.0,135.0,32.0,136.0,118.0,64.0,112.0,41.0,15.0,22.0,117.0,20.0,33.0,40.0,25.0,27.0,58.0,38.0,21.0,25.0,32.0,31.0,60.0,36.0,34.0,3.0,36.0,4.0,1.0,22.0,226.0,19.0,91.0,11.0,24.0,34.0,49.0,20.0,2.0,12.0,16.0,61.0,9.0,20.0,3.0,10.0,4.0,27.0,8.0,3.0,4.0,10.0,23.0,40.0,66.0,17.0,14.0,4.0,1.0,10.0,2.0,2.0,0.0,1.0,26.0,20.0,9.0,1.0,9.0,1.0,0.0,1.0,5.0,2.0,7.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-19,346.0,467.0,156.0,166.0,164.0,91.0,152.0,38.0,215.0,53.0,215.0,78.0,51.0,6.0,13.0,379.0,53.0,29.0,56.0,14.0,33.0,73.0,18.0,43.0,19.0,26.0,35.0,31.0,182.0,178.0,8.0,7.0,23.0,1.0,11.0,54.0,9.0,75.0,12.0,9.0,26.0,59.0,27.0,3.0,17.0,12.0,55.0,9.0,9.0,7.0,7.0,6.0,95.0,5.0,16.0,1.0,69.0,3.0,6.0,29.0,153.0,6.0,286.0,1.0,9.0,4.0,9.0,0.0,0.0,11.0,77.0,6.0,25.0,0.0,7.0,0.0,2.0,2.0,3.0,5.0,11.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,3.0,0.0,6.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-20,422.0,484.0,260.0,130.0,96.0,71.0,449.0,89.0,47.0,102.0,74.0,128.0,48.0,4.0,29.0,96.0,91.0,28.0,85.0,43.0,19.0,370.0,53.0,29.0,23.0,37.0,30.0,39.0,90.0,64.0,16.0,2.0,12.0,1.0,13.0,47.0,7.0,89.0,21.0,2.0,13.0,6.0,21.0,4.0,15.0,14.0,18.0,23.0,10.0,47.0,12.0,3.0,30.0,3.0,13.0,5.0,18.0,10.0,1.0,33.0,23.0,17.0,53.0,0.0,15.0,8.0,2.0,0.0,0.0,3.0,55.0,9.0,11.0,6.0,5.0,0.0,2.0,1.0,4.0,4.0,22.0,1.0,0.0,1.0,1.0,4.0,1.0,2.0,0.0,1.0,7.0,0.0,3.0,2.0,3.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0
2018-08-21,417.0,290.0,224.0,125.0,73.0,70.0,515.0,62.0,51.0,139.0,73.0,91.0,48.0,7.0,26.0,48.0,168.0,45.0,100.0,19.0,32.0,455.0,27.0,17.0,45.0,18.0,23.0,183.0,39.0,51.0,24.0,18.0,15.0,11.0,14.0,41.0,5.0,61.0,42.0,27.0,14.0,13.0,18.0,4.0,10.0,19.0,8.0,2.0,11.0,12.0,58.0,3.0,8.0,3.0,14.0,3.0,9.0,5.0,3.0,49.0,11.0,1.0,7.0,1.0,7.0,10.0,1.0,0.0,5.0,3.0,14.0,4.0,2.0,3.0,1.0,1.0,8.0,8.0,3.0,9.0,6.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,5.0,0.0,5.0,0.0,2.0,1.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0
2018-08-22,371.0,289.0,694.0,278.0,72.0,57.0,396.0,123.0,171.0,247.0,134.0,56.0,17.0,12.0,22.0,114.0,176.0,25.0,41.0,16.0,19.0,320.0,24.0,29.0,41.0,29.0,28.0,111.0,29.0,23.0,10.0,9.0,18.0,18.0,26.0,13.0,13.0,55.0,14.0,22.0,14.0,13.0,51.0,3.0,19.0,23.0,13.0,9.0,20.0,9.0,28.0,3.0,8.0,11.0,22.0,6.0,8.0,5.0,46.0,4.0,14.0,12.0,5.0,0.0,5.0,18.0,6.0,0.0,3.0,38.0,8.0,19.0,5.0,5.0,55.0,1.0,116.0,8.0,10.0,0.0,2.0,0.0,0.0,2.0,2.0,4.0,0.0,5.0,4.0,0.0,2.0,0.0,4.0,0.0,2.0,1.0,4.0,2.0,0.0,0.0,1.0,0.0,0.0
