date,Farmer,Pesticides,Food_Contamination,Industry,Dairy_Health_Impact,Forest,Waste,Workers,Cow,Government,ImportExport,Chemical,Deforestation_Agriculture,Lactose_Intolerant,Food_Climat_Impact,Employment,Policy,Poverty,Biodiversity,Price,Brexit,Food_Waste,Industrial_Agriculture,Soil,Natural,Payment_Wages,Cancer,MentalHealth,GMO,Sugar,Factory,Packaging,PalmOil,Immigration,Taste,Pollinators,Shortage,Glyphosate,Animal_Welfare,CEO,Recycling,Vegan_Against_Dairy,Almond_milk,Vitamin,Allergy,Gut_Digestion,Ingredient_Scrutiny,Fats,Lactose,Seeds,Protein,Milk_Prices,Bacteria,Industry_Impacy_Health,Obesity,Food_access,Antibiotics,Reusable,Plastic_Ocean,Retail,Hormone,Label,Water_Scarcity,Chlorpyrifos,Bank,Xenophobic,Sustainable_Diet,Meat_Impact_Climate,Chlorine,Baby_Milk,Residues,Additive,Diabetes,Soya_milk,Processed_Food,Feminism,Transparency,Religion,Breastfeeding,Gluten,Skincar,Cocoa,Monoculture,Shareholders,Microplastics,Infant_Nutrition,Veganism,Carbohydrates,Fertility,Biodegradable,Microwave,Sulfoxaflor,Organic_Authenticity,Traceability,NanoParticles,Aluminium,Probiotics,Atrazine,Perchlorate,Dairy_Industry_Lie,Genetically_Modified_Animal,Milk_Sales,Overpackaging
2018-08-13,521.0,3358.0,403.0,280.0,174.0,261.0,669.0,84.0,139.0,88.0,3611.0,414.0,151.0,10.0,50.0,64.0,74.0,64.0,4.0,162.0,14.0,47.0,25.0,66.0,8.0,11.0,48.0,24.0,20.0,16.0,7.0,0.0,112.0,44.0,34.0,7.0,11.0,81.0,0.0,1.0,6.0,13.0,39.0,0.0,20.0,6.0,104.0,15.0,12.0,45.0,10.0,22.0,6.0,2.0,24.0,51.0,12.0,1.0,12.0,3.0,1.0,100.0,4.0,0.0,0.0,4.0,20.0,0.0,0.0,0.0,75.0,107.0,22.0,11.0,7.0,0.0,7.0,49.0,1.0,18.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,53.0,20.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-14,247.0,378.0,470.0,61.0,96.0,122.0,449.0,71.0,38.0,119.0,145.0,71.0,89.0,15.0,105.0,31.0,44.0,43.0,13.0,95.0,40.0,430.0,9.0,7.0,26.0,76.0,44.0,5.0,11.0,16.0,3.0,11.0,5.0,3.0,10.0,0.0,53.0,31.0,16.0,3.0,99.0,2.0,22.0,0.0,32.0,51.0,3.0,29.0,15.0,0.0,18.0,51.0,2.0,0.0,0.0,24.0,1.0,62.0,0.0,62.0,2.0,3.0,1.0,1.0,3.0,14.0,13.0,0.0,0.0,73.0,8.0,1.0,30.0,1.0,0.0,0.0,4.0,0.0,5.0,6.0,22.0,1.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,1.0,8.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2018-08-15,334.0,953.0,208.0,381.0,114.0,1346.0,332.0,79.0,309.0,211.0,59.0,226.0,1331.0,19.0,17.0,20.0,41.0,62.0,0.0,57.0,5.0,134.0,18.0,18.0,8.0,41.0,297.0,260.0,16.0,27.0,12.0,15.0,4.0,0.0,32.0,407.0,51.0,312.0,2.0,420.0,4.0,209.0,28.0,1.0,7.0,13.0,3.0,33.0,23.0,0.0,4.0,2.0,3.0,3.0,67.0,5.0,0.0,1096.0,0.0,182.0,3.0,1.0,0.0,14.0,4.0,1.0,0.0,1.0,0.0,2.0,9.0,0.0,20.0,5.0,1.0,0.0,0.0,2.0,18.0,8.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-16,454.0,1256.0,372.0,208.0,66.0,128.0,633.0,123.0,71.0,401.0,162.0,104.0,46.0,23.0,9.0,390.0,64.0,64.0,13.0,77.0,141.0,50.0,69.0,31.0,34.0,14.0,44.0,20.0,50.0,12.0,1.0,20.0,68.0,3.0,442.0,321.0,1.0,204.0,17.0,94.0,9.0,16.0,80.0,0.0,93.0,96.0,5.0,8.0,23.0,5.0,23.0,6.0,9.0,1.0,5.0,4.0,10.0,32.0,1.0,261.0,46.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,550.0,5.0,3.0,3.0,7.0,0.0,0.0,3.0,0.0,5.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
2018-08-17,427.0,728.0,292.0,55.0,90.0,71.0,409.0,50.0,232.0,326.0,203.0,95.0,36.0,55.0,58.0,110.0,42.0,29.0,23.0,67.0,100.0,354.0,33.0,27.0,29.0,41.0,23.0,121.0,124.0,3.0,7.0,0.0,6.0,4.0,42.0,349.0,11.0,93.0,14.0,6.0,251.0,1.0,36.0,0.0,2.0,31.0,6.0,20.0,56.0,6.0,14.0,0.0,182.0,2.0,1.0,5.0,29.0,11.0,0.0,279.0,2.0,6.0,53.0,0.0,43.0,3.0,0.0,0.0,5.0,6.0,1.0,2.0,0.0,44.0,0.0,0.0,3.0,1.0,10.0,15.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,33.0,0.0,0.0,2.0,3.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-18,846.0,1144.0,210.0,486.0,181.0,37.0,103.0,33.0,66.0,127.0,26.0,95.0,14.0,15.0,20.0,259.0,11.0,31.0,46.0,14.0,27.0,15.0,10.0,21.0,43.0,28.0,20.0,40.0,55.0,68.0,1.0,52.0,0.0,0.0,21.0,278.0,10.0,109.0,7.0,36.0,4.0,6.0,39.0,2.0,16.0,34.0,419.0,25.0,29.0,2.0,9.0,4.0,13.0,8.0,2.0,5.0,9.0,12.0,95.0,73.0,13.0,17.0,2.0,0.0,6.0,7.0,1.0,0.0,1.0,18.0,176.0,10.0,0.0,11.0,1.0,0.0,0.0,7.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-19,531.0,253.0,169.0,198.0,386.0,266.0,247.0,59.0,696.0,88.0,439.0,104.0,142.0,24.0,2.0,551.0,108.0,43.0,19.0,7.0,40.0,96.0,44.0,60.0,10.0,24.0,6.0,8.0,663.0,691.0,7.0,10.0,114.0,0.0,98.0,18.0,6.0,55.0,14.0,37.0,53.0,4.0,111.0,5.0,46.0,37.0,1.0,35.0,45.0,0.0,11.0,3.0,81.0,0.0,41.0,0.0,404.0,2.0,0.0,27.0,648.0,1.0,779.0,0.0,6.0,4.0,23.0,0.0,0.0,4.0,25.0,15.0,77.0,0.0,22.0,0.0,1.0,3.0,2.0,23.0,32.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,31.0,13.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-08-20,960.0,652.0,229.0,120.0,200.0,76.0,920.0,153.0,31.0,440.0,63.0,112.0,46.0,5.0,56.0,114.0,404.0,11.0,98.0,34.0,2.0,783.0,56.0,14.0,22.0,57.0,13.0,56.0,66.0,65.0,34.0,0.0,16.0,0.0,19.0,60.0,4.0,36.0,6.0,0.0,11.0,17.0,16.0,16.0,18.0,17.0,18.0,48.0,14.0,39.0,7.0,0.0,10.0,13.0,14.0,21.0,3.0,10.0,0.0,45.0,3.0,18.0,33.0,0.0,35.0,32.0,9.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,5.0,2.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,0.0,2.0,17.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0
2018-08-21,837.0,276.0,41612.0,146.0,77.0,52.0,517.0,158.0,36.0,144.0,91.0,55.0,24.0,36.0,280.0,123.0,239.0,119.0,243.0,22.0,17.0,425.0,17.0,25.0,158.0,17.0,10.0,548.0,37.0,29.0,114.0,56.0,22.0,2.0,6.0,62.0,1.0,70.0,98.0,50.0,3.0,10.0,27.0,0.0,9.0,22.0,0.0,5.0,40.0,0.0,16.0,4.0,2.0,0.0,80.0,11.0,16.0,8.0,0.0,72.0,14.0,0.0,0.0,0.0,0.0,78.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,4.0,0.0,0.0,0.0,1.0,5.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,10.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0
2018-08-22,262.0,457.0,172.0,189.0,213.0,312.0,290.0,99.0,478.0,395.0,404.0,31.0,292.0,24.0,9.0,97.0,70.0,40.0,21.0,67.0,34.0,218.0,17.0,62.0,9.0,37.0,10.0,9.0,14.0,18.0,286.0,3.0,9.0,32.0,65.0,8.0,29.0,67.0,15.0,7.0,22.0,6.0,239.0,0.0,12.0,24.0,9.0,10.0,28.0,0.0,61.0,9.0,2.0,9.0,8.0,1.0,2.0,4.0,68.0,4.0,26.0,9.0,3.0,0.0,3.0,3.0,285.0,0.0,57.0,142.0,4.0,9.0,2.0,18.0,480.0,1.0,176.0,15.0,71.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,2.0,1.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0
